text;Labeling;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
RT @demokrasiambyar: Stlh hiruk pikuk pembubaran   Ormas FPI berakhir dg SKB, yg sdikit byknya perhatian rakyat teralihkan dari pengusutan…;Negative;;;
"RT @jafarsi94561356: Lawan Hoax Neo FPI &amp; Kovid
#BasmiKelompokProTerorisme
Pembubaran dan pelarangan  terhadap ormas yg melanggar norma-nor…";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @geloraco: Bantah Bela FPI, BEM UI: Ini soal Landasan Pembubaran Ormas Tanpa Peradilan
https://t.co/lyI4vy6vIt";Negative;;;
RT @seruanhl: Eks Juru Bicara Jokowi-Maruf Amin Dedek Prayudi alias Dedek Uki membongkar borok efpei hingga dibubarkan. Dia mengomentari pe…;Negative;;;
"Lawan Hoax Neo FPI &amp; Kovid
#BasmiKelompokProTerorisme
Pembubaran dan pelarangan  terhadap ormas yg melanggar norma-… https://t.co/vxl5j3vUFI";Negative;;;
RT @Dennysiregar7: Mungkin adek2 BEM @univ_indonesia yg protes pembubaran FPI, masih pada korengan pantatnya dan ingusnya meler2 sambil ceb…;Negative;;;
"RT @nar_dwi: Aku juga mau ucapin juga.. 
TERIMA KASIH 
TNI - POLRI  Atas pembubaran Ormas FPI
Hidup TNI POLRI untuk NKRI
 @Puspen_TNI 
 @Di…";Positive;;;
RT @MCAOps: BEM UI mengecam pemberangusan demokrasi dan upaya pencederaian hak asasi manusia sebagai bagian dari prinsip-prinsip negara huk…;Negative;;;
RT @tribunnews: Dituduh Dukung FPI, BEM UI: Kami Fokus Kebijakan Pembubaran Ormas Tanpa Peradilan https://t.co/84HBUOT5yK via @tribunnewswi…;Negative;;;
"RT @OvanGhozali: Pancasila dihadapkan dlm pembubaran HTI &amp; FPI.

Menunggu Pancasila dihadapkan pada:
- Polugri AS &amp; China
- Para Kapitalis/…";Positive;;;
"RT @buns_qbs: MATI KETAWA CARA SKB!! LUCUNYA ALASAN PEMBUBARAN FPI!!

Refly Harun Channel
https://t.co/Huipu9RilT

#UsutPredatorKM50 
#Just…";Negative;;;
