screen_name;text;Labeling
imaaaaaer;@bdngfess maskerna meunang desain ridwan kamil, sarua jiga urang. meunang tina bansos;Positive
yuwantino12;"@HamidRaizan @mas_dikin786 @septian @jokowi Coba browsing lagi bos.... Tgl 8 udah diserahkan... @BPOM_RI udah bisa analisa,  bisa jadi malah lebih cepat.... 
Ridwan kamil itu volunter uji klinis.. Kalo tidak salah Sample darahnya udah diambil tgl 12 des kok... Udah dianalisa bos";Positive
vojcoid;"""Kalau menolak akan membahayakan kesehatan, keselamatan masyarakat dan keluarga,” kata Emil.
#BeritaTerkini #beritajabar #beritajawabarat #vaksincorona
https://t.co/qLElgHdjG9";Positive
vojcoid;"Bantuan pusat bersumber dari tiga program yakni Program Keluarga Harapan (PKH), Kartu Sembako, dan Bantuan Sosial Tunai (BST).
#BeritaTerkini #jabarjuaralahirbatin #beritahariini #Bansos @ridwankamil
https://t.co/jPtWimTM0G";Positive
KompasTV;Ridwan Kamil: Sebagai Warga Negara Harus Wajib Divaksin https://t.co/ssdRi7gfCs https://t.co/DCZM89UA9T;Positive
KompasTV;Ridwan Kamil Usul Proses Vaksinasi Jangan Lama-lama https://t.co/2NfSE9ejkJ https://t.co/z6Q4JXET0b;Positive
KompasTV;Pemulung Viral Bawa Bayi Diangkat Karyawan oleh Ridwan Kamil, Netizen: Tuhan Angkat Derajatnya https://t.co/3Yeijto30b https://t.co/exQadUgEPZ;Positive
KompasTV;4 Minggu Setia di Zona Merah, Ridwan Kamil Tetapkan Depok dan Karawang Siaga 1 https://t.co/fH0Vn0pZ4t https://t.co/U42WKII9HX;Positive
humasjabar;"Ridwan Kamil Tanda Tangani Perjanjian Pinjaman Daerah 2021 dan Komitmen Bersama 22 Kepala Daerah se-Jabar

@ridwankamil @uu_ruzhanul @SWangsaatmaja @ata_lia 

#JawaBarat #JabarJuara #SilihTulungan

https://t.co/NUTH29c5kh";Positive
humasjabar;"Ridwan Kamil Nilai Vaksinasi COVID-19 sebagai Bentuk Bela Negara

@ridwankamil @uu_ruzhanul @SWangsaatmaja @ata_lia 
 
#JawaBarat #JabarTanggapCovid19 #SilihTulungan 

https://t.co/KNODJtt6kE";Positive
humasjabar;"Atalia Ridwan Kamil Salurkan Bantuan kepada Warga Terdampak Banjir di Kota Bandung

@ridwankamil @uu_ruzhanul @SWangsaatmaja @ata_lia 

#JawaBarat #JabarJuara #SilihTulungan

https://t.co/dQ8VmsQhLu";Positive
humasjabar;"Ridwan Kamil Gelar Subling Pertama di Tahun 2021

@ridwankamil @uu_ruzhanul @SWangsaatmaja @ata_lia 
 
#JawaBarat #JabarJuara #SilihTulungan

https://t.co/5cEX9LpwMb";Positive
humasjabar;"Gubernur Jabar Ridwan Kamil Salurkan Bantuan Tunai Pusat untuk Masyarakat Terdampak COVID-19

@ridwankamil @uu_ruzhanul @SWangsaatmaja @ata_lia 
 
#JawaBarat #JabarTanggapCovid19 #SilihTulungan

https://t.co/jRc3rU6uXX";Positive
MrsRachelIn;"Sebetulnya Kpl daerah yg Pertama trima suntik vaksin adalan kang @ridwankamil, jd ga perlu ragu ... 

Jalani Suntik Kedua Calon Vaksin Covid-19, Ridwan Kamil: Mudah-mudahan Tidak Ngantuk
https://t.co/X5uqOHWIkP";Positive
strictlyforman;"Terus ada steak yang kita bisa liat chefnya masak langsung, harganya ya pas untuk steak yg enak. Serunya di Toko You, sering ada pak Ridwan Kamil  tapi sebelum pandemi sih hehehe.
Paling uniknya, di setiap meja ada tulisan kaya di bawah ini. https://t.co/W04uUlqMya";Positive
MuhidinFajar;Ridwan Kamil Instruksikan Kepala Daerah di Jabar jadi Orang Pertama Disuntik Vaksin Covid-19 https://t.co/ZiYjHK3MAi https://t.co/u7wxs5m5kS;Positive
infobdg;Ridwan Kamil: 11 Januari Bandung dan Bodebek Kembali Terapkan WFH https://t.co/WPCgNThKNQ #infoBDG https://t.co/UgU1DnlppN;Positive
